upload_date,title,channel,url,video_id,transcript_txt,transcript_json,status
20260612,"""الاعتقاد أن إسرائيل تريد التطبيع فقط حديث ساذج"" | شربل نحاس | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=zg4eQjLMrZg,zg4eQjLMrZg,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260612 - الاعتقاد أن إسرائيل تريد التطبيع فقط حديث ساذج شربل نحاس هامش جاد [zg4eQjLMrZg].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260612 - الاعتقاد أن إسرائيل تريد التطبيع فقط حديث ساذج شربل نحاس هامش جاد [zg4eQjLMrZg].json,saved
20260522,"""الدولة اللبنانية لا يمكن أن تكون شريك لإسرائيل في أي موضوع"" | نهاد المشنوق | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=bYHf9qKa2l4,bYHf9qKa2l4,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260522 - الدولة اللبنانية لا يمكن أن تكون شريك لإسرائيل في أي موضوع نهاد المشنوق هامش جاد [bYHf9qKa2l4].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260522 - الدولة اللبنانية لا يمكن أن تكون شريك لإسرائيل في أي موضوع نهاد المشنوق هامش جاد [bYHf9qKa2l4].json,saved
20260515,"""أنا أحميك وأحمي لبنان، بأن يكون سلاحك جزءًا من استراتيجية حماية البلاد"" | جبران باسيل | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=toOmOL__Eag,toOmOL__Eag,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260515 - أنا أحميك وأحمي لبنان، بأن يكون سلاحك جزءًا من استراتيجية حماية البلاد جبران باسيل هامش جاد [toOmOL__Eag].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260515 - أنا أحميك وأحمي لبنان، بأن يكون سلاحك جزءًا من استراتيجية حماية البلاد جبران باسيل هامش جاد [toOmOL__Eag].json,saved
20260508,"نواف الموسوي يتهم الرئيس عون بـ""تدمير وحدة لبنان"" ويدعو لاستفتاء شعبي على قرارته | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=ET7sant4zNs,ET7sant4zNs,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260508 - نواف الموسوي يتهم الرئيس عون بـ تدمير وحدة لبنان ويدعو لاستفتاء شعبي على قرارته هامش جاد [ET7sant4zNs].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260508 - نواف الموسوي يتهم الرئيس عون بـ تدمير وحدة لبنان ويدعو لاستفتاء شعبي على قرارته هامش جاد [ET7sant4zNs].json,saved
20260501,جورج عدوان لحزب الله: قبل أن نتفق على النظام.. هل أنتم خاضعون له؟ | هامش جاد,AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=0a9QnzsDb1w,0a9QnzsDb1w,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260501 - جورج عدوان لحزب الله قبل أن نتفق على النظام.. هل أنتم خاضعون له؟ هامش جاد [0a9QnzsDb1w].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260501 - جورج عدوان لحزب الله قبل أن نتفق على النظام.. هل أنتم خاضعون له؟ هامش جاد [0a9QnzsDb1w].json,saved
20260423,"فارس سعيّد يستشهد بمحمود عباس: ""لا بديل عن السلام والحوار مع إسرائيل"" | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=Bsygct4qKys,Bsygct4qKys,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260423 - فارس سعيّد يستشهد بمحمود عباس لا بديل عن السلام والحوار مع إسرائيل هامش جاد [Bsygct4qKys].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260423 - فارس سعيّد يستشهد بمحمود عباس لا بديل عن السلام والحوار مع إسرائيل هامش جاد [Bsygct4qKys].json,saved
20260417,لبنان شعب بلا دولة.. وهذه حقيقة ما يجري في المفاوضات مع إسرائيل | جميل السيّد | هامش جاد,AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=P7c-bnAp6yU,P7c-bnAp6yU,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260417 - لبنان شعب بلا دولة.. وهذه حقيقة ما يجري في المفاوضات مع إسرائيل جميل السيّد هامش جاد [P7c-bnAp6yU].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260417 - لبنان شعب بلا دولة.. وهذه حقيقة ما يجري في المفاوضات مع إسرائيل جميل السيّد هامش جاد [P7c-bnAp6yU].json,saved
20260414,اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان,Jad Ghosn,https://www.youtube.com/watch?v=YaFeUPIgBaM,YaFeUPIgBaM,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].json,saved
20260414,كيف سيبدو لبنان بعد الحرب؟- جاد غصن #231,عرب 48 | Arab48,https://www.youtube.com/watch?v=6rvtcizT2BA,6rvtcizT2BA,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260414 - كيف سيبدو لبنان بعد الحرب؟- جاد غصن #231 [6rvtcizT2BA].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260414 - كيف سيبدو لبنان بعد الحرب؟- جاد غصن #231 [6rvtcizT2BA].json,saved
20260309,"""The Israelis are not interested in peace” w/ Jad Ghosn",Makdisi Street,https://www.youtube.com/watch?v=5rR_gNlONag,5rR_gNlONag,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260309 - The Israelis are not interested in peace” w Jad Ghosn [5rR_gNlONag].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260309 - The Israelis are not interested in peace” w Jad Ghosn [5rR_gNlONag].json,saved
